REGIONS,MNI001,MNI002,MNI006,MNI008,MNI014,MNI016,MNI029,MNI902,MNI915,MNI923_100vols,MNI928
dentate_R_dil,1.002989 ,1.386746 ,0.977057 ,0.912093 ,0.847296 ,1.361001 ,0.941520 ,0.987905 ,1.067354 ,1.634523 ,1.004963 
SCP_R_dil,1.335491 ,1.721822 ,1.487239 ,1.421126 ,1.234001 ,1.873360 ,1.321925 ,1.584867 ,1.186821 ,2.436636 ,1.411056 
RN_L_dil,0.830364 ,1.302743 ,1.078350 ,0.705763 ,0.975665 ,1.231595 ,1.030210 ,0.876277 ,0.804723 ,1.378449 ,0.776238 
motorcortex_L,1.268057 ,1.632685 ,1.308936 ,1.297790 ,1.306064 ,1.567239 ,1.305784 ,1.312595 ,1.162562 ,1.197300 ,1.132807 
exclude_R2,1.155819 ,1.380186 ,1.203972 ,1.142445 ,1.235714 ,1.457067 ,1.135159 ,1.142245 ,1.031884 ,1.381125 ,1.066471 
cerebellum_L,0.930989 ,1.285653 ,0.910536 ,0.935511 ,1.080254 ,1.369882 ,0.941808 ,1.053865 ,0.871828 ,1.347404 ,0.935048 
ALIC_L,1.830271 ,2.632391 ,2.694537 ,2.068216 ,2.080795 ,2.467077 ,2.236602 ,2.210665 ,1.913568 ,2.788397 ,1.948251 
thalamus_R,0.886272 ,1.357787 ,1.105553 ,0.978830 ,1.241183 ,1.335323 ,1.036593 ,1.229563 ,0.893844 ,1.170323 ,0.934557 
dentate_L_dil,0.986247 ,1.570903 ,1.008192 ,1.024830 ,1.145346 ,1.696648 ,1.190901 ,1.244940 ,1.183049 ,1.688658 ,1.151461 
SCP_L_dil,1.492259 ,1.847165 ,1.604193 ,1.609153 ,1.394652 ,2.070640 ,1.496471 ,1.772897 ,1.285625 ,2.288330 ,1.556897 
RN_R_dil,0.746624 ,1.311570 ,1.091308 ,0.812282 ,0.948317 ,1.286896 ,1.079699 ,0.929442 ,0.813581 ,1.389169 ,0.812766 
motorcortex_R,1.206256 ,1.651055 ,1.302692 ,1.275785 ,1.300412 ,1.477635 ,1.297110 ,1.353067 ,1.184695 ,1.044927 ,1.184726 
exclude_L2,1.157043 ,1.366479 ,1.186492 ,1.141968 ,1.206720 ,1.444717 ,1.118198 ,1.127031 ,1.029151 ,1.378098 ,1.061596 
cerebellum_R,0.947240 ,1.180741 ,0.811160 ,0.931579 ,0.886455 ,1.270565 ,0.816528 ,0.944846 ,0.849744 ,1.313624 ,0.907970 
ALIC_R,1.867350 ,2.480885 ,2.446826 ,2.108294 ,2.119813 ,2.416620 ,2.279719 ,2.449957 ,2.001626 ,2.694452 ,2.048448 
thalamus_L,0.894646 ,1.360847 ,1.127648 ,0.957001 ,1.142539 ,1.387693 ,1.136829 ,1.172121 ,0.883969 ,1.245522 ,0.880704 
midsag_CC_dil,1.550450 ,2.029421 ,1.808171 ,1.749084 ,1.662481 ,2.321442 ,1.688168 ,1.769329 ,1.551148 ,1.914081 ,1.610427 
brainstem_slice_below_pons_dil,0.626761 ,0.981801 ,0.641972 ,0.709888 ,0.839967 ,0.954074 ,0.656261 ,0.827092 ,0.676127 ,1.010260 ,0.625642 
optic_chiasm,0.728707 ,0.840850 ,0.695793 ,0.841888 ,0.645926 ,0.989280 ,0.691829 ,0.605528 ,0.589469 ,0.584893 ,0.635252 
frontal_pole,1.123434 ,1.267683 ,1.325270 ,1.231657 ,1.370174 ,1.299130 ,1.194795 ,1.038525 ,0.963219 ,1.257388 ,1.144276 
AC,1.138518 ,1.299688 ,1.125397 ,1.000491 ,1.062801 ,1.250408 ,1.105827 ,1.110252 ,0.964924 ,1.309245 ,0.925434 
occipital_lobe,1.422691 ,1.793652 ,1.341914 ,1.290441 ,1.350159 ,1.898539 ,1.387461 ,1.412065 ,1.408191 ,1.685763 ,1.247323 
temporal_lobe,1.067408 ,1.194148 ,1.085084 ,0.977091 ,1.108283 ,1.286996 ,0.969393 ,1.044919 ,0.857487 ,1.316614 ,0.881977 
left_dentate_tract,1.703972 ,2.298284 ,2.326031 ,1.820989 ,1.999625 ,2.334757 ,1.971727 ,2.245210 ,1.875624 ,1.970377 ,1.784629 
right_dentate_tract,1.938153 ,2.535988 ,2.257001 ,1.683820 ,2.187659 ,2.500922 ,2.096173 ,2.208672 ,1.948588 ,2.137070 ,1.654798 
