REGIONS,MNI001,MNI002,MNI006,MNI008,MNI014,MNI016,MNI029,MNI902,MNI915,MNI923_100vols,MNI928
dentate_R_dil,816.000000,768.000000,936.000000,1464.000000,696.000000,936.000000,744.000000,720.000000,744.000000,1176.000000,912.000000
SCP_R_dil,936.000000,696.000000,696.000000,768.000000,864.000000,840.000000,696.000000,768.000000,768.000000,768.000000,936.000000
RN_L_dil,696.000000,552.000000,720.000000,768.000000,552.000000,576.000000,672.000000,624.000000,600.000000,528.000000,624.000000
motorcortex_L,33528.000000,38312.000000,45856.000000,41912.000000,30504.000000,45712.000000,25992.000000,41048.000000,32328.000000,53416.000000,48320.000000
exclude_R2,568176.000000,635632.000000,703568.000000,655704.000000,535320.000000,582528.000000,511992.000000,575168.000000,533200.000000,620104.000000,567736.000000
cerebellum_L,59936.000000,87592.000000,109976.000000,52024.000000,84744.000000,85984.000000,82160.000000,84728.000000,77336.000000,77520.000000,60768.000000
ALIC_L,2120.000000,2080.000000,3928.000000,2344.000000,2128.000000,1984.000000,1720.000000,2024.000000,1896.000000,2288.000000,1904.000000
thalamus_R,6672.000000,6944.000000,9440.000000,7864.000000,6992.000000,6184.000000,5680.000000,6616.000000,6304.000000,7232.000000,6776.000000
dentate_L_dil,768.000000,768.000000,1728.000000,1584.000000,576.000000,816.000000,744.000000,792.000000,840.000000,1512.000000,792.000000
SCP_L_dil,816.000000,696.000000,792.000000,624.000000,768.000000,744.000000,696.000000,768.000000,696.000000,1008.000000,744.000000
RN_R_dil,600.000000,648.000000,672.000000,648.000000,624.000000,600.000000,720.000000,552.000000,648.000000,648.000000,696.000000
motorcortex_R,31352.000000,28832.000000,43536.000000,37936.000000,27440.000000,39768.000000,24128.000000,38360.000000,29776.000000,49784.000000,36392.000000
exclude_L2,567992.000000,636648.000000,705704.000000,658040.000000,534096.000000,580328.000000,510280.000000,577456.000000,532408.000000,620688.000000,573968.000000
cerebellum_R,58848.000000,87064.000000,110592.000000,53008.000000,82760.000000,82640.000000,79680.000000,85632.000000,75864.000000,76992.000000,66664.000000
ALIC_R,2144.000000,2536.000000,4056.000000,2760.000000,2624.000000,2312.000000,1928.000000,2424.000000,1888.000000,2672.000000,1920.000000
thalamus_L,6464.000000,7016.000000,9736.000000,7872.000000,6688.000000,6184.000000,5448.000000,6832.000000,6416.000000,6936.000000,6616.000000
midsag_CC_dil,7072.000000,7488.000000,10928.000000,7416.000000,6496.000000,7560.000000,6552.000000,8024.000000,8696.000000,7752.000000,7600.000000
brainstem_slice_below_pons_dil,5624.000000,5592.000000,5512.000000,5472.000000,4472.000000,5336.000000,4744.000000,5240.000000,5376.000000,5976.000000,5536.000000
optic_chiasm,640.000000,608.000000,680.000000,688.000000,632.000000,672.000000,768.000000,648.000000,560.000000,592.000000,608.000000
frontal_pole,171704.000000,206224.000000,209016.000000,204744.000000,142008.000000,178856.000000,149552.000000,163488.000000,168400.000000,217952.000000,182552.000000
AC,3824.000000,3768.000000,4880.000000,4280.000000,3600.000000,3552.000000,3104.000000,3680.000000,3360.000000,3712.000000,3456.000000
occipital_lobe,130960.000000,143864.000000,153400.000000,162640.000000,117720.000000,133424.000000,112672.000000,130080.000000,120992.000000,123568.000000,128376.000000
temporal_lobe,183608.000000,175272.000000,200128.000000,212128.000000,170176.000000,162680.000000,148592.000000,174440.000000,143504.000000,177200.000000,173632.000000
left_dentate_tract,6440.000000,32552.000000,36696.000000,13688.000000,7728.000000,47528.000000,20944.000000,7648.000000,13496.000000,62336.000000,28504.000000
left_dentate_waytotal,12  ,296  ,348  ,62  ,17  ,780  ,205  ,17  ,62  ,4220  ,230  
right_dentate_tract,14848.000000,14704.000000,45544.000000,2032.000000,6600.000000,48592.000000,8584.000000,7600.000000,13984.000000,89040.000000,43896.000000
right_dentate_waytotal,58  ,38  ,665  ,3  ,14  ,583  ,30  ,18  ,72  ,9788  ,1060  
